,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
91,parsed-facebook_combined-40.csv,GraphBIG,PageRank,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.021528753125
92,parsed-facebook_combined-40.csv,GraphMat,PageRank,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.037536
93,parsed-facebook_combined-40.csv,PowerGraph,PageRank,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.05
94,parsed-facebook_combined-40.csv,GAP,SSSP,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.046994375
95,parsed-facebook_combined-40.csv,GraphBIG,SSSP,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00439154790909091
96,parsed-facebook_combined-40.csv,GraphMat,SSSP,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0012148125
97,parsed-facebook_combined-40.csv,PowerGraph,SSSP,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.03125
98,parsed-facebook_combined-48.csv,GAP,BFS,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.002131875
99,parsed-facebook_combined-48.csv,GraphBIG,BFS,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0045089143030303
100,parsed-facebook_combined-48.csv,GraphMat,BFS,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0039175
101,parsed-facebook_combined-48.csv,GAP,PageRank,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.01037375
102,parsed-facebook_combined-48.csv,GraphBIG,PageRank,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.022216834375
103,parsed-facebook_combined-48.csv,GraphMat,PageRank,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.025240625
104,parsed-facebook_combined-48.csv,PowerGraph,PageRank,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.05625
105,parsed-facebook_combined-48.csv,GAP,SSSP,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.060785
106,parsed-facebook_combined-48.csv,GraphBIG,SSSP,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00444305278787879
107,parsed-facebook_combined-48.csv,GraphMat,SSSP,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00383525
108,parsed-facebook_combined-48.csv,PowerGraph,SSSP,4039,88234,48,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.025
109,parsed-facebook_combined-56.csv,GAP,BFS,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00253875
110,parsed-facebook_combined-56.csv,GraphBIG,BFS,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00461780806060606
111,parsed-facebook_combined-56.csv,GraphMat,BFS,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.004629875
112,parsed-facebook_combined-56.csv,GAP,PageRank,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.011295
113,parsed-facebook_combined-56.csv,GraphBIG,PageRank,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.021854625
