package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
PowerGraph,SSSP,2239,6452,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GAP,SSSP,2239,6452,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00063125
GraphBIG,SSSP,2239,6452,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23E-05
GraphMat,SSSP,2239,6452,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000389125
PowerGraph,SSSP,2239,6452,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GAP,SSSP,2239,6452,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00089125
GraphBIG,SSSP,2239,6452,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12E-05
GraphMat,SSSP,2239,6452,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000543688
PowerGraph,SSSP,2239,6452,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125
GAP,SSSP,2239,6452,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004835625
GraphBIG,SSSP,2239,6452,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000250042
GraphMat,SSSP,2239,6452,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014501813
PowerGraph,SSSP,2239,6452,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025
GAP,SSSP,2239,6452,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006746875
GraphBIG,SSSP,2239,6452,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000314877
GraphMat,SSSP,2239,6452,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002251313
