Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
378,parsed-actor-collaboration-8.csv,GraphMat,PageRank,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,1.402176875
379,parsed-actor-collaboration-8.csv,PowerGraph,PageRank,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,43.625
387,parsed-actor-collaboration-16.csv,GAP,PageRank,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.259543125
388,parsed-actor-collaboration-16.csv,GraphBIG,PageRank,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,11.6353
389,parsed-actor-collaboration-16.csv,GraphMat,PageRank,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.840245063
390,parsed-actor-collaboration-16.csv,PowerGraph,PageRank,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,22.85625
398,parsed-actor-collaboration-24.csv,GAP,PageRank,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.206399375
399,parsed-actor-collaboration-24.csv,GraphBIG,PageRank,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,10.931245
400,parsed-actor-collaboration-24.csv,GraphMat,PageRank,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.636493563
401,parsed-actor-collaboration-24.csv,PowerGraph,PageRank,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,16.78125
409,parsed-actor-collaboration-32.csv,GAP,PageRank,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.209580625
410,parsed-actor-collaboration-32.csv,GraphBIG,PageRank,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,10.68126688
411,parsed-actor-collaboration-32.csv,GraphMat,PageRank,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,1.18729125
412,parsed-actor-collaboration-32.csv,PowerGraph,PageRank,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,17.34375
420,parsed-actor-collaboration-40.csv,GAP,PageRank,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.20613375
421,parsed-actor-collaboration-40.csv,GraphBIG,PageRank,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,10.62268563
422,parsed-actor-collaboration-40.csv,GraphMat,PageRank,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,1.54874875
423,parsed-actor-collaboration-40.csv,PowerGraph,PageRank,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,24.71875
431,parsed-actor-collaboration-48.csv,GAP,PageRank,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.2145575
432,parsed-actor-collaboration-48.csv,GraphBIG,PageRank,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,10.60313875
433,parsed-actor-collaboration-48.csv,GraphMat,PageRank,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,1.78203
434,parsed-actor-collaboration-48.csv,PowerGraph,PageRank,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,28.85
442,parsed-actor-collaboration-56.csv,GAP,PageRank,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.21118625
443,parsed-actor-collaboration-56.csv,GraphBIG,PageRank,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,10.53055875
444,parsed-actor-collaboration-56.csv,GraphMat,PageRank,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,2.4148425
445,parsed-actor-collaboration-56.csv,PowerGraph,PageRank,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,31.95
452,parsed-eat-1.csv,GraphBIG,PageRank,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318755141
453,parsed-eat-1.csv,GraphMat,PageRank,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188750875
454,parsed-eat-1.csv,PowerGraph,PageRank,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
461,parsed-eat-2.csv,GraphBIG,PageRank,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124276438
462,parsed-eat-2.csv,GraphMat,PageRank,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1331735
463,parsed-eat-2.csv,PowerGraph,PageRank,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
470,parsed-eat-4.csv,GraphBIG,PageRank,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100855425
471,parsed-eat-4.csv,GraphMat,PageRank,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10844525
